,,Demand
sc01,01-13 00:00:00+01:00,2540.015
sc01,01-13 01:00:00+01:00,2405.413
sc01,01-13 02:00:00+01:00,2289.343
sc01,01-13 03:00:00+01:00,2249.273
sc01,01-13 04:00:00+01:00,2247.364
sc01,01-13 05:00:00+01:00,2391.323
sc01,01-13 06:00:00+01:00,2690.142
sc01,01-13 07:00:00+01:00,3042.78
sc01,01-13 08:00:00+01:00,3353.327
sc01,01-13 09:00:00+01:00,3523.15
sc01,01-13 10:00:00+01:00,3579.721
sc01,01-13 11:00:00+01:00,3593.505
sc01,01-13 12:00:00+01:00,3542.655
sc01,01-13 13:00:00+01:00,3412.772
sc01,01-13 14:00:00+01:00,3319.661
sc01,01-13 15:00:00+01:00,3309.616
sc01,01-13 16:00:00+01:00,3439.218
sc01,01-13 17:00:00+01:00,3633.153
sc01,01-13 18:00:00+01:00,3784.567
sc01,01-13 19:00:00+01:00,3841.973
sc01,01-13 20:00:00+01:00,3651.376
sc01,01-13 21:00:00+01:00,3277.227
sc01,01-13 22:00:00+01:00,3058.187
sc01,01-13 23:00:00+01:00,2848.222
sc01,01-14 00:00:00+01:00,2663.513
sc01,01-14 01:00:00+01:00,2516.295
sc01,01-14 02:00:00+01:00,2381.396
sc01,01-14 03:00:00+01:00,2281.583
sc01,01-14 04:00:00+01:00,2183.313
sc01,01-14 05:00:00+01:00,2253.162
sc01,01-14 06:00:00+01:00,2502.598
sc01,01-14 07:00:00+01:00,2830.663
sc01,01-14 08:00:00+01:00,3148.431
sc01,01-14 09:00:00+01:00,3316.863
sc01,01-14 10:00:00+01:00,3355.602
sc01,01-14 11:00:00+01:00,3389.443
sc01,01-14 12:00:00+01:00,3378.814
sc01,01-14 13:00:00+01:00,3251.828
sc01,01-14 14:00:00+01:00,3145.937
sc01,01-14 15:00:00+01:00,3154.638
sc01,01-14 16:00:00+01:00,3352.876
sc01,01-14 17:00:00+01:00,3613.624
sc01,01-14 18:00:00+01:00,3788.933
sc01,01-14 19:00:00+01:00,3889.257
sc01,01-14 20:00:00+01:00,3775.83
sc01,01-14 21:00:00+01:00,3432.696
sc01,01-14 22:00:00+01:00,3213.334
sc01,01-14 23:00:00+01:00,2996.359
sc01,01-15 00:00:00+01:00,2840.26
sc01,01-15 01:00:00+01:00,2734.994
sc01,01-15 02:00:00+01:00,2653.678
sc01,01-15 03:00:00+01:00,2723.33
