Scenario,LoadLevel,Battery,PumpedHydro,StorageHydro
sc01,01-13 00:00:00+01:00,0.0,0.0,0.0
sc01,01-13 01:00:00+01:00,30.672699899999905,0.0,0.0
sc01,01-13 02:00:00+01:00,79.8536158894738,91.1319566105267,0.0
sc01,01-13 03:00:00+01:00,0.0,234.91360200000017,0.0
sc01,01-13 04:00:00+01:00,100.0,175.29198920000024,0.0
sc01,01-13 05:00:00+01:00,0.0,77.6522695000004,0.0
sc01,01-13 06:00:00+01:00,0.0,0.0,0.0
sc01,01-13 07:00:00+01:00,0.0,0.0,0.0
sc01,01-13 08:00:00+01:00,0.0,0.0,0.0
sc01,01-13 09:00:00+01:00,0.0,0.0,0.0
sc01,01-13 10:00:00+01:00,0.0,0.0,0.0
sc01,01-13 11:00:00+01:00,0.0,0.0,0.0
sc01,01-13 12:00:00+01:00,0.0,0.0,0.0
sc01,01-13 13:00:00+01:00,0.0,0.0,0.0
sc01,01-13 14:00:00+01:00,0.0,0.0,0.0
sc01,01-13 15:00:00+01:00,0.0,0.0,0.0
sc01,01-13 16:00:00+01:00,0.0,0.0,0.0
sc01,01-13 17:00:00+01:00,0.0,0.0,0.0
sc01,01-13 18:00:00+01:00,0.0,0.0,0.0
sc01,01-13 19:00:00+01:00,0.0,0.0,0.0
sc01,01-13 20:00:00+01:00,0.0,0.0,0.0
sc01,01-13 21:00:00+01:00,0.0,0.0,0.0
sc01,01-13 22:00:00+01:00,0.0,0.0,0.0
sc01,01-13 23:00:00+01:00,0.0,0.0,0.0
sc01,01-14 00:00:00+01:00,0.0,0.0,0.0
sc01,01-14 01:00:00+01:00,0.0,0.0,0.0
sc01,01-14 02:00:00+01:00,0.0,0.0,0.0
sc01,01-14 03:00:00+01:00,0.0,0.0,0.0
sc01,01-14 04:00:00+01:00,0.0,0.0,0.0
sc01,01-14 05:00:00+01:00,0.0,0.0,0.0
sc01,01-14 06:00:00+01:00,0.0,0.0,0.0
sc01,01-14 07:00:00+01:00,0.0,0.0,0.0
sc01,01-14 08:00:00+01:00,0.0,0.0,0.0
sc01,01-14 09:00:00+01:00,0.0,0.0,0.0
sc01,01-14 10:00:00+01:00,0.0,0.0,0.0
sc01,01-14 11:00:00+01:00,0.0,0.0,0.0
sc01,01-14 12:00:00+01:00,0.0,0.0,0.0
sc01,01-14 13:00:00+01:00,100.0,34.57193360000013,0.0
sc01,01-14 14:00:00+01:00,100.0,206.31388510000042,0.0
sc01,01-14 15:00:00+01:00,10.526315789473694,257.6342150105268,0.0
sc01,01-14 16:00:00+01:00,0.0,0.0,0.0
sc01,01-14 17:00:00+01:00,0.0,0.0,0.0
sc01,01-14 18:00:00+01:00,0.0,0.0,0.0
sc01,01-14 19:00:00+01:00,0.0,0.0,0.0
sc01,01-14 20:00:00+01:00,0.0,0.0,0.0
sc01,01-14 21:00:00+01:00,0.0,0.0,0.0
sc01,01-14 22:00:00+01:00,0.0,0.0,0.0
sc01,01-14 23:00:00+01:00,0.0,0.0,0.0
sc01,01-15 00:00:00+01:00,0.0,0.0,0.0
sc01,01-15 01:00:00+01:00,0.0,0.0,0.0
sc01,01-15 02:00:00+01:00,33.713497700000566,0.0,0.0
sc01,01-15 03:00:00+01:00,0.0,0.0,0.0
sc01,01-15 04:00:00+01:00,0.0,0.0,0.0
sc01,01-15 05:00:00+01:00,0.0,0.0,0.0
sc01,01-15 06:00:00+01:00,0.0,0.0,0.0
sc01,01-15 07:00:00+01:00,0.0,0.0,0.0
sc01,01-15 08:00:00+01:00,0.0,0.0,0.0
sc01,01-15 09:00:00+01:00,0.0,0.0,0.0
sc01,01-15 10:00:00+01:00,0.0,0.0,0.0
sc01,01-15 11:00:00+01:00,0.0,0.0,0.0
sc01,01-15 12:00:00+01:00,0.0,0.0,0.0
sc01,01-15 13:00:00+01:00,0.0,0.0,0.0
sc01,01-15 14:00:00+01:00,0.0,0.0,0.0
sc01,01-15 15:00:00+01:00,0.0,0.0,0.0
sc01,01-15 16:00:00+01:00,0.0,0.0,0.0
sc01,01-15 17:00:00+01:00,0.0,0.0,0.0
sc01,01-15 18:00:00+01:00,0.0,0.0,0.0
sc01,01-15 19:00:00+01:00,0.0,0.0,0.0
sc01,01-15 20:00:00+01:00,0.0,0.0,0.0
sc01,01-15 21:00:00+01:00,0.0,0.0,0.0
sc01,01-15 22:00:00+01:00,0.0,0.0,0.0
sc01,01-15 23:00:00+01:00,0.0,0.0,0.0
sc01,01-16 00:00:00+01:00,100.0,5.8087287000003345,0.0
sc01,01-16 01:00:00+01:00,100.0,86.7514328000006,0.0
sc01,01-16 02:00:00+01:00,10.526315789473694,165.38955171052658,0.0
sc01,01-16 03:00:00+01:00,0.0,127.02714229999984,0.0
