Scenario,LoadLevel,Battery,CCGT_1,CCGT_2,CCGT_3,CCGT_4,CCGT_5,CCGT_6,CCGT_7,CCGT_8,Nuclear_1,Nuclear_2,OCGT_1,PumpedHydro,SolarPV_1,SolarPV_2,StorageHydro,WindFarm_1,WindFarm_2
sc01,01-13 00:00:00+01:00,0.1,0.08,0.08,0.1,0.1,0.12,0.16762823819999972,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.48743205710000004,0.3249547047
sc01,01-13 01:00:00+01:00,0.0,0.08,0.08,0.1,0.1,0.12,0.12,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.5136514199,0.34243428000000004
sc01,01-13 02:00:00+01:00,0.0,0.08,0.08,0.1,0.1,0.12,0.12,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.5281971435,0.35213142900000005
sc01,01-13 03:00:00+01:00,0.0,0.08,0.08,0.1,0.1,0.12,0.12,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.5425119612,0.3616746408
sc01,01-13 04:00:00+01:00,0.0,0.08,0.08,0.1,0.1,0.12,0.12,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.5655935935,0.37706239570000005
sc01,01-13 05:00:00+01:00,0.0,0.08,0.08,0.1,0.1,0.12,0.12,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.5333851617,0.3555901078
sc01,01-13 06:00:00+01:00,0.0,0.08,0.08,0.1,0.1,0.20432983429999962,0.3,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.5074872994,0.3383248663
sc01,01-13 07:00:00+01:00,0.0,0.2,0.08,0.1,0.1,0.3,0.3,0.3397623413000001,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.4698105952,0.3132070635
sc01,01-13 08:00:00+01:00,0.0,0.2,0.08,0.25,0.1,0.3,0.3,0.35000000000000003,0.3417107711129998,0.35000000000000003,0.35000000000000003,0.0,0.0,0.007178829412,0.004785886275000001,0.0,0.43179090789999997,0.28786060529999996
sc01,01-13 09:00:00+01:00,0.0,0.2,0.13301986134999974,0.25,0.1,0.3,0.3,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.0,0.0,0.12519286870000002,0.08346191245,0.0,0.3788852145,0.25259014300000004
sc01,01-13 10:00:00+01:00,0.0,0.2,0.08,0.21471422720000005,0.1,0.3,0.3,0.35000000000000003,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.3731491578,0.2487661052,0.0,0.3438549059,0.2292366039
sc01,01-13 11:00:00+01:00,0.0,0.2,0.08,0.1,0.1,0.3,0.3,0.2704290511000002,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.5165396773,0.3443597848,0.0,0.3253058921,0.2168705947
sc01,01-13 12:00:00+01:00,0.0,0.2,0.08,0.1,0.1,0.3,0.3,0.1524903610000003,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.5632387392000001,0.37549249279999997,0.0,0.3188600442,0.21257336280000003
sc01,01-13 13:00:00+01:00,0.0,0.08,0.08,0.1,0.1,0.2293134280000001,0.3,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.6182939191000001,0.41219594610000004,0.0,0.3077812241,0.2051874827
sc01,01-13 14:00:00+01:00,0.0,0.08,0.08,0.1,0.1,0.12,0.2334778718999997,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.6576142405000001,0.4384094937,0.0,0.31809563630000004,0.2120637576
sc01,01-13 15:00:00+01:00,0.0,0.08,0.08,0.1,0.1,0.12,0.24761832269999995,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.6420821228,0.4280547485,0.0,0.3191164836,0.2127443224
sc01,01-13 16:00:00+01:00,0.0,0.2,0.08,0.1,0.1,0.3,0.3,0.20209483519999955,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.4892203727,0.3261469151,0.0,0.30105352620000003,0.2007023508
sc01,01-13 17:00:00+01:00,0.027091802659999303,0.2,0.2,0.25,0.25,0.3,0.3,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.0,0.0,0.1438098434,0.09587322894,0.0,0.279826875,0.18655125
sc01,01-13 18:00:00+01:00,0.1,0.2,0.2,0.25,0.25,0.3,0.3,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.0,0.0,0.003834256159,0.002556170773,0.31899927186799915,0.27550638070000005,0.1836709205
sc01,01-13 19:00:00+01:00,0.0729081973400007,0.2,0.2,0.25,0.25,0.3,0.3,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.39104736935999834,0.28681046,0.1912069733
sc01,01-13 20:00:00+01:00,0.0,0.2,0.2,0.25,0.25,0.3,0.3,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.2530054544999996,0.2990223273,0.19934821819999998
sc01,01-13 21:00:00+01:00,0.0,0.2,0.2,0.25,0.11730409919999912,0.3,0.3,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.30595374049999996,0.2039691603
sc01,01-13 22:00:00+01:00,0.0,0.2,0.08,0.25,0.1,0.3,0.3,0.35000000000000003,0.27917136639999923,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.2994093802,0.19960625340000002
sc01,01-13 23:00:00+01:00,0.0,0.2,0.08,0.1517388716999999,0.1,0.3,0.3,0.35000000000000003,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.31588987700000004,0.2105932513
sc01,01-14 00:00:00+01:00,0.0,0.2,0.08,0.1,0.1,0.3,0.3,0.18371955249999988,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.33587606849999996,0.22391737900000003
sc01,01-14 01:00:00+01:00,0.0,0.09445345399999965,0.08,0.1,0.1,0.3,0.3,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.3371049276,0.2247366184
sc01,01-14 02:00:00+01:00,0.0,0.08,0.08,0.1,0.1,0.15256591619999982,0.3,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.3532980503,0.23553203350000002
sc01,01-14 03:00:00+01:00,0.0,0.08,0.08,0.1,0.1,0.12,0.2403209881999997,0.14,0.14,0.35000000000000003,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.3487572071,0.2325048047
