Scenario,LoadLevel,Battery,CCGT_1,CCGT_2,CCGT_3,CCGT_4,CCGT_5,CCGT_6,CCGT_7,CCGT_8,Nuclear_1,Nuclear_2,OCGT_1,PumpedHydro,SolarPV_1,SolarPV_2,StorageHydro,WindFarm_1,WindFarm_2
sc01,01-13 00:00:00+01:00,100.0,80.0,80.0,100.0,100.0,120.0,167.6282381999997,140.0,140.0,350.00000000000006,350.00000000000006,0.0,0.0,0.0,0.0,0.0,487.43205710000007,324.9547047
sc01,01-13 01:00:00+01:00,0.0,80.0,80.0,100.0,100.0,120.0,120.0,140.0,140.0,350.00000000000006,350.00000000000006,0.0,0.0,0.0,0.0,0.0,513.6514199,342.43428000000006
sc01,01-13 02:00:00+01:00,0.0,80.0,80.0,100.0,100.0,120.0,120.0,140.0,140.0,350.00000000000006,350.00000000000006,0.0,0.0,0.0,0.0,0.0,528.1971435,352.131429
sc01,01-13 03:00:00+01:00,0.0,80.0,80.0,100.0,100.0,120.0,120.0,140.0,140.0,350.00000000000006,350.00000000000006,0.0,0.0,0.0,0.0,0.0,542.5119612,361.6746408
sc01,01-13 04:00:00+01:00,0.0,80.0,80.0,100.0,100.0,120.0,120.0,140.0,140.0,350.00000000000006,350.00000000000006,0.0,0.0,0.0,0.0,0.0,565.5935935,377.0623957
sc01,01-13 05:00:00+01:00,0.0,80.0,80.0,100.0,100.0,120.0,120.0,140.0,140.0,350.00000000000006,350.00000000000006,0.0,0.0,0.0,0.0,0.0,533.3851617,355.5901078
sc01,01-13 06:00:00+01:00,0.0,80.0,80.0,100.0,100.0,204.32983429999962,300.0,140.0,140.0,350.00000000000006,350.00000000000006,0.0,0.0,0.0,0.0,0.0,507.48729940000004,338.32486630000005
sc01,01-13 07:00:00+01:00,0.0,200.0,80.0,100.0,100.0,300.0,300.0,339.7623413000001,140.0,350.00000000000006,350.00000000000006,0.0,0.0,0.0,0.0,0.0,469.8105952,313.2070635
sc01,01-13 08:00:00+01:00,0.0,200.0,80.0,250.0,100.0,300.0,300.0,350.00000000000006,341.7107711129998,350.00000000000006,350.00000000000006,0.0,0.0,7.178829412000001,4.785886275000001,0.0,431.7909079,287.8606053
sc01,01-13 09:00:00+01:00,0.0,200.0,133.01986134999973,250.0,100.0,300.0,300.0,350.00000000000006,350.00000000000006,350.00000000000006,350.00000000000006,0.0,0.0,125.19286870000002,83.46191245,0.0,378.8852145,252.59014300000004
sc01,01-13 10:00:00+01:00,0.0,200.0,80.0,214.71422720000004,100.0,300.0,300.0,350.00000000000006,140.0,350.00000000000006,350.00000000000006,0.0,0.0,373.1491578,248.7661052,0.0,343.8549059,229.2366039
