Scenario,LoadLevel,Coal,ESS,Gas,Nuclear,RES
sc01,01-01 00:00:00+01:00,0.0,0.0,663.86,600.0,1130.94
sc01,01-01 01:00:00+01:00,0.0,0.0,657.451039,600.0,1041.88032
sc01,01-01 02:00:00+01:00,0.0,0.0,644.6038100000003,600.0,966.37158
sc01,01-01 03:00:00+01:00,0.0,0.0,622.4035000000001,600.0,927.11808
sc01,01-01 04:00:00+01:00,0.0,0.0,631.3130520000002,600.0,870.4259999999999
sc01,01-01 05:00:00+01:00,0.0,0.0,681.6310599999998,600.0,809.6049
sc01,01-01 06:00:00+01:00,0.0,0.0,719.2228039999998,600.0,768.50046
sc01,01-01 07:00:00+01:00,0.0,0.0,811.2770269999999,600.0,697.36554
sc01,01-01 08:00:00+01:00,0.0,0.0,933.6505999999997,600.0,632.3003000000001
sc01,01-01 09:00:00+01:00,0.0,0.0,1121.6185650000002,600.0,552.3149850000001
sc01,01-01 10:00:00+01:00,0.0,0.0,1237.2169870000002,600.0,517.734945
sc01,01-01 11:00:00+01:00,0.0,0.0,1263.0953330000004,600.0,551.666605
sc01,01-01 12:00:00+01:00,0.0,0.0,1223.3962930000002,600.0,585.1014200000001
sc01,01-01 13:00:00+01:00,0.0,0.0,1213.66809,600.0,593.5175350000001
sc01,01-01 14:00:00+01:00,0.0,0.0,1250.4793940000002,600.0,592.8033899999999
sc01,01-01 15:00:00+01:00,0.0,0.0,1334.0,600.0,538.89349
sc01,01-01 16:00:00+01:00,0.0,0.0,1434.356162,600.0,489.37562999999994
sc01,01-01 17:00:00+01:00,0.0,0.0,1505.8859580000003,600.0,487.05075000000005
sc01,01-01 18:00:00+01:00,0.0,0.0,1492.748909,600.0,489.6621
sc01,01-01 19:00:00+01:00,0.0,0.0,1429.134047,600.0,515.98314
sc01,01-01 20:00:00+01:00,0.0,0.0,1343.14921,600.0,550.7341200000001
sc01,01-01 21:00:00+01:00,0.0,0.0,1334.0,600.0,596.70216
sc01,01-01 22:00:00+01:00,0.0,0.0,1246.3306100000007,600.0,619.70994
sc01,01-01 23:00:00+01:00,0.0,0.0,1119.8679229999998,600.0,621.91764
sc01,01-02 00:00:00+01:00,0.0,0.0,1080.3326540000003,600.0,593.6247000000001
sc01,01-02 01:00:00+01:00,0.0,0.0,1079.730908,600.0,543.82842
sc01,01-02 02:00:00+01:00,0.0,0.0,1056.5763970000003,600.0,531.54036
sc01,01-02 03:00:00+01:00,0.0,0.0,1109.8693870000002,600.0,498.36492
sc01,01-02 04:00:00+01:00,0.0,0.0,1198.728511,600.0,518.17734
